time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
114.0,1283,0.5263157894736842,1.1239035087719298,0.0,12.0,120000.0,20000.0,1.0,0.0,0.88,2,100,0.0024752475247524753,9.813699999999999,0.625,1.171875,0.0,12.0,120000.0,20000.0,1.0,0.0,0.874,0
78.0,1265,0.0,0.3205128205128205,0.0,12.0,120000.0,20000.0,1.0,0.0,0.955,3,100,0.0024752475247524753,-3.9364,0.6613756066984452,1.1625743086496108,0.0,12.0,120000.0,20000.0,1.0,0.0,0.872,1
107.0,21,0.4205607476635514,1.139018691588785,0.0,8.0,80000.0,0.0,0.0,1.0,0.892,1,100,0.0024752475247524753,-3.8331089583333324,0.6592862682235309,1.1589016433616754,0.0,8.0,80000.0,0.0,0.0,1.0,0.872,1
109.0,22,0.45871559633027525,1.1181192660550459,0.0,8.0,80000.0,0.0,0.0,1.0,0.888,1,100,0.0024752475247524753,-3.7704089583333324,0.6947660386263216,1.149429108021488,0.0,8.0,80000.0,0.0,0.0,1.0,0.871,1
80.0,827,0.0,0.390625,0.0,12.0,120000.0,20000.0,1.0,0.0,0.95,3,100,0.0024752475247524753,-3.93645,0.6912816614117061,1.143664513364955,0.0,12.0,120000.0,20000.0,1.0,0.0,0.871,1
83.0,1717,0.0,0.48945783132530124,0.0,12.0,120000.0,0.0,0.0,1.0,0.942,3,100,0.0024752475247524753,-3.93655,0.7260405997063085,1.1344384370411071,0.0,12.0,120000.0,0.0,0.0,1.0,0.869,1
83.0,2179,0.0,0.48945783132530124,0.0,12.0,120000.0,0.0,0.0,0.0,0.942,3,100,0.0024752475247524753,-3.9366,0.7602432170099858,1.1253600251792555,0.0,12.0,120000.0,0.0,0.0,0.0,0.868,1
86.0,1269,0.0,0.5450581395348837,12.5,12.0,120000.0,20000.0,2.0,0.0,0.934,3,100,0.0024752475247524753,-3.93675,0.7876495913949597,1.107632237899162,0.0,12.0,120000.0,20000.0,1.0,0.0,0.865,1
86.0,830,0.0,0.5450581395348837,0.0,12.0,120000.0,20000.0,1.0,0.0,0.934,3,100,0.0024752475247524753,-3.93685,0.853043815432338,1.1390073671965877,0.0,12.0,120000.0,20000.0,1.0,0.0,0.863,1
87.0,2181,0.0,0.574712643678161,0.0,12.0,120000.0,0.0,0.0,0.0,0.932,3,22,0.0024752475247524753,-3.93685,0.853043815432338,1.1390073671965877,0.0,12.0,120000.0,0.0,0.0,0.0,0.863,1
108.0,1280,0.4166666666666667,1.128472222222222,12.5,12.0,120000.0,20000.0,2.0,0.0,0.89,2,100,0.0024752475247524753,-3.8536166666666665,0.8461538461538461,1.1298076923076923,0.0,12.0,120000.0,20000.0,1.0,0.0,0.861,1
126.0,1289,0.753968253968254,1.1160714285714286,0.0,12.0,120000.0,20000.0,1.0,0.0,0.867,2,100,0.0024752475247524753,9.854666666666665,0.8396946564885497,1.1211832061068703,0.0,12.0,120000.0,20000.0,1.0,0.0,0.86,0
111.0,463,0.45045045045045046,1.0979729729729728,0.0,25.0,400000.0,20000.0,1.0,1.0,0.885,0,0,0.0024752475247524753,9.64275,0.8396946564885497,1.1211832061068703,12.5,25.0,400000.0,20000.0,2.0,1.0,0.86,0
127.0,1737,0.7874015748031495,1.1072834645669292,0.0,12.0,120000.0,0.0,0.0,1.0,0.865,1,100,0.0024752475247524753,9.854616666666665,0.8333333333333334,1.183712121212121,0.0,12.0,120000.0,0.0,0.0,1.0,0.859,0
112.0,1282,0.4464285714285714,1.1160714285714286,0.0,12.0,120000.0,20000.0,1.0,0.0,0.883,2,100,0.0024752475247524753,-3.8538666666666663,0.8208955223880596,1.1660447761194028,0.0,12.0,120000.0,20000.0,1.0,0.0,0.856,1
113.0,1732,0.48672566371681414,1.133849557522124,0.0,12.0,120000.0,0.0,0.0,1.0,0.882,2,100,0.0024752475247524753,-3.8122,0.8208955223880596,1.1660447761194028,0.0,12.0,120000.0,0.0,0.0,1.0,0.856,1
